,,,,,,,,,,
,Variable name,,House building,Nominal house price,Nominal construction cost,Transactions,Private housing stock,Interest rate,House price (income) deflator,Construction cost deflator
,Variable description,,"Private enterprise starts, # homes","Nominal house prices, £","Nominal construction cost, index","Sales, # homes","Owner-occupied + privated rented, # homes","BOE official base rate, %","Nominal disposable income / real disposable  income, index","GDP deflator, index"
,Variable geography,,England,England,Great Britain,England & Wales,England,United Kingdom,United Kingdom,United Kingdom
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,1975,Q1, -   ," 8,264 ",10.30," 193,500 ", - ,10.78,11.87,9.90
,,Q2, -   ," 8,501 ",11.20," 226,500 ", - ,9.96,12.52,10.56
,,Q3, -   ," 8,702 ",11.70," 236,250 ", - ,10.71,13.02,11.01
,,Q4, -   ," 8,812 ",11.50," 224,250 ", - ,11.73,13.69,11.50
,1976,Q1, -   ," 8,958 ",11.40," 201,750 ", - ,9.87,14.23,11.88
,,Q2, -   ," 9,178 ",12.40," 222,750 ", - ,10.51,14.58,12.22
,,Q3, -   ," 9,379 ",12.80," 237,000 ", - ,11.79,14.98,12.51
,,Q4, -   ," 9,543 ",12.70," 231,000 ", - ,14.72,15.75,13.01
,1977,Q1, -   ," 9,617 ",12.30," 196,500 ", - ,12.33,16.48,13.48
,,Q2, -   ," 9,745 ",13.50," 225,750 ", - ,8.44,17.03,14.01
,,Q3, -   ," 10,037 ",14.10," 249,750 ", - ,7.28,17.34,14.30
,,Q4, -   ," 10,348 ",14.10," 257,250 ", - ,5.88,17.64,14.70
,1978,Q1," 25,880 "," 10,567 ",13.60," 248,250 "," 12,120 ",6.54,18.22,15.25
,,Q2," 39,760 "," 11,097 ",15.20," 263,250 "," 12,144 ",8.50,18.58,15.68
,,Q3," 34,490 "," 11,884 ",16.30," 261,750 "," 12,180 ",10.00,18.93,15.90
,,Q4," 33,450 "," 12,743 ",16.60," 250,500 "," 12,211 ",11.44,19.56,16.33
,1979,Q1," 19,060 "," 13,419 ",16.20," 229,500 "," 12,242 ",13.02,20.15,16.90
,,Q2," 33,300 "," 14,480 ",18.20," 235,500 "," 12,258 ",12.44,20.57,17.32
,,Q3," 34,260 "," 15,540 ",20.10," 258,750 "," 12,286 ",14.00,21.96,18.63
,,Q4," 34,510 "," 16,655 ",20.60," 255,750 "," 12,315 ",15.53,22.92,19.43
,1980,Q1," 20,470 "," 17,350 ",20.10," 234,000 "," 12,344 ",17.00,23.85,20.37
,,Q2," 25,210 "," 18,063 ",23.00," 246,000 "," 12,390 ",17.00,24.71,21.32
,,Q3," 20,120 "," 18,630 ",24.50," 231,000 "," 12,446 ",16.02,25.28,22.12
,,Q4," 17,500 "," 18,813 ",24.50," 239,250 "," 12,491 ",15.20,26.36,23.08
,1981,Q1," 22,790 "," 18,849 ",23.10," 216,000 "," 12,530 ",13.53,27.09,23.70
,,Q2," 27,720 "," 19,343 ",25.30," 246,000 "," 12,597 ",12.00,27.78,24.12
,,Q3," 27,830 "," 19,599 ",25.50," 263,250 "," 12,680 ",12.51,28.40,24.52
,,Q4," 21,270 "," 19,270 ",24.50," 288,000 "," 12,762 ",14.60,29.35,25.25
,1982,Q1," 27,730 "," 18,740 ",23.20," 240,000 "," 12,825 ",13.80,30.10,25.83
,,Q2," 33,340 "," 19,526 ",25.20," 276,000 "," 12,885 ",13.02,30.48,26.06
,,Q3," 33,340 "," 20,038 ",25.30," 318,000 "," 12,957 ",11.36,30.83,26.48
,,Q4," 28,050 "," 20,312 ",24.80," 321,750 "," 13,029 ",9.70,31.52,27.03
,1983,Q1," 34,450 "," 21,025 ",25.60," 302,250 "," 13,089 ",10.79,32.05,27.49
,,Q2," 41,890 "," 21,573 ",26.20," 308,250 "," 13,145 ",10.03,32.32,27.48
,,Q3," 38,600 "," 22,487 ",26.90," 323,250 "," 13,212 ",9.56,32.62,27.91
,,Q4," 32,900 "," 22,670 ",27.30," 318,000 "," 13,275 ",9.07,33.11,28.35
,1984,Q1," 31,910 "," 23,036 ",27.80," 318,000 "," 13,328 ",8.94,33.51,28.41
,,Q2," 37,980 "," 23,767 ",28.30," 320,250 "," 13,382 ",8.84,34.09,29.25
,,Q3," 34,830 "," 24,681 ",28.80," 342,000 "," 13,445 ",10.89,34.48,29.49
,,Q4," 28,690 "," 25,047 ",29.10," 339,000 "," 13,504 ",9.97,34.92,29.91
,1985,Q1," 28,470 "," 25,047 ",29.50," 303,000 "," 13,552 ",12.85,34.90,30.06
,,Q2," 39,720 "," 25,961 ",29.90," 325,500 "," 13,599 ",12.48,35.43,30.56
,,Q3," 39,110 "," 26,692 ",30.40," 346,500 "," 13,665 ",11.57,35.94,31.15
,,Q4," 33,810 "," 27,424 ",31.00," 331,500 "," 13,730 ",11.38,36.47,31.62
,1986,Q1," 30,860 "," 28,155 ",31.90," 292,500 "," 13,786 ",12.08,36.63,31.85
,,Q2," 44,470 "," 29,435 ",32.40," 313,500 "," 13,862 ",10.31,36.98,31.96
,,Q3," 43,910 "," 30,897 ",33.20," 374,250 "," 13,970 ",9.88,37.39,32.31
,,Q4," 34,750 "," 31,994 ",33.70," 370,500 "," 14,078 ",10.73,37.85,32.78
,1987,Q1," 39,030 "," 32,908 ",34.60," 321,750 "," 14,163 ",10.67,38.29,33.21
,,Q2," 44,760 "," 34,554 ",35.40," 329,250 "," 14,239 ",9.23,38.65,33.72
,,Q3," 47,370 "," 36,199 ",36.40," 400,500 "," 14,326 ",9.49,38.99,34.37
,,Q4," 40,040 "," 38,489 ",37.50," 401,250 "," 14,418 ",9.03,39.46,34.70
,1988,Q1," 45,040 "," 40,335 ",38.60," 365,250 "," 14,496 ",8.63,40.09,35.06
